provenance,claim_id,freight_order_id,event_timestamp,carrier_id,region,claim_value_usd,contract_payment_days,document_quality,image_damage_proxy,delay_hours,sla_buffer_hours,shipped_quantity,extracted_received_quantity,contractual_loss_tolerance,evidence_text
SYNTHETIC_NOT_REAL,SYN-004336,SYN-FO-004336,2025-11-13T10:55:12+00:00,SYN-C024,North America,243.73,15,0.4799,0.796,19.292,24.0,451,452,0.01,SIMULATED: transit deviation 19.3 h; load 451 pieces; received-document reading 452; image damage proxy 0.80.
SYNTHETIC_NOT_REAL,SYN-004578,SYN-FO-004578,2025-12-01T02:54:14.400000+00:00,SYN-C045,North America,254.48,45,0.916,0.3626,3.256,8.0,383,385,0.0,SIMULATED: transit deviation 3.3 h; load 383 pieces; received-document reading 385; image damage proxy 0.36.
SYNTHETIC_NOT_REAL,SYN-004183,SYN-FO-004183,2025-11-02T06:51:50.400000+00:00,SYN-C058,Asia Pacific,550.71,45,0.5789,0.4115,0.0,12.0,243,218,0.03,SIMULATED: transit deviation 0.0 h; load 243 pieces; received-document reading 218; image damage proxy 0.41.
SYNTHETIC_NOT_REAL,SYN-004331,SYN-FO-004331,2025-11-13T02:09:36+00:00,SYN-C010,Europe,528.61,30,0.7933,0.5064,7.045,8.0,381,369,0.01,SIMULATED: transit deviation 7.0 h; load 381 pieces; received-document reading 369; image damage proxy 0.51.
SYNTHETIC_NOT_REAL,SYN-004151,SYN-FO-004151,2025-10-30T22:48:00+00:00,SYN-C007,Asia Pacific,41.57,45,0.7218,0.2777,4.779,12.0,439,440,0.0,SIMULATED: transit deviation 4.8 h; load 439 pieces; received-document reading 440; image damage proxy 0.28.
SYNTHETIC_NOT_REAL,SYN-004318,SYN-FO-004318,2025-11-12T03:23:02.400000+00:00,SYN-C022,Latin America,3485.94,30,0.8733,0.7992,0.801,4.0,298,284,0.03,SIMULATED: transit deviation 0.8 h; load 298 pieces; received-document reading 284; image damage proxy 0.80.
SYNTHETIC_NOT_REAL,SYN-004477,SYN-FO-004477,2025-11-23T17:57:07.200000+00:00,SYN-C006,Latin America,849.7,30,0.7633,0.0525,17.585,12.0,192,169,0.01,SIMULATED: transit deviation 17.6 h; load 192 pieces; received-document reading 169; image damage proxy 0.05.
SYNTHETIC_NOT_REAL,SYN-004998,SYN-FO-004998,2025-12-31T18:44:38.400000+00:00,SYN-C023,North America,264.0,60,0.8388,0.4737,0.0,4.0,191,188,0.0,SIMULATED: transit deviation 0.0 h; load 191 pieces; received-document reading 188; image damage proxy 0.47.
SYNTHETIC_NOT_REAL,SYN-004396,SYN-FO-004396,2025-11-17T20:02:24+00:00,SYN-C055,Asia Pacific,367.21,30,0.8456,0.6675,5.811,4.0,388,386,0.03,SIMULATED: transit deviation 5.8 h; load 388 pieces; received-document reading 386; image damage proxy 0.67.
SYNTHETIC_NOT_REAL,SYN-004325,SYN-FO-004325,2025-11-12T15:38:52.800000+00:00,SYN-C033,Asia Pacific,1080.56,60,0.8915,0.5008,3.858,2.0,387,370,0.01,SIMULATED: transit deviation 3.9 h; load 387 pieces; received-document reading 370; image damage proxy 0.50.
SYNTHETIC_NOT_REAL,SYN-004762,SYN-FO-004762,2025-12-14T13:16:19.200000+00:00,SYN-C021,North America,232.43,60,0.5104,0.5704,1.618,2.0,120,119,0.01,SIMULATED: transit deviation 1.6 h; load 120 pieces; received-document reading 119; image damage proxy 0.57.
SYNTHETIC_NOT_REAL,SYN-004887,SYN-FO-004887,2025-12-23T16:16:19.200000+00:00,SYN-C050,North America,118.18,15,0.6088,0.16,26.56,12.0,226,234,0.0,SIMULATED: transit deviation 26.6 h; load 226 pieces; received-document reading 234; image damage proxy 0.16.
SYNTHETIC_NOT_REAL,SYN-004544,SYN-FO-004544,2025-11-28T15:20:09.600000+00:00,SYN-C067,Asia Pacific,587.51,60,0.7338,0.528,5.469,2.0,234,233,0.0,SIMULATED: transit deviation 5.5 h; load 234 pieces; received-document reading 233; image damage proxy 0.53.
SYNTHETIC_NOT_REAL,SYN-004671,SYN-FO-004671,2025-12-07T21:50:24+00:00,SYN-C042,Asia Pacific,564.94,45,0.4821,0.7867,1.881,8.0,172,167,0.0,SIMULATED: transit deviation 1.9 h; load 172 pieces; received-document reading 167; image damage proxy 0.79.
SYNTHETIC_NOT_REAL,SYN-004665,SYN-FO-004665,2025-12-07T11:19:40.800000+00:00,SYN-C024,Asia Pacific,1887.37,60,0.5499,0.6962,11.069,24.0,236,230,0.03,SIMULATED: transit deviation 11.1 h; load 236 pieces; received-document reading 230; image damage proxy 0.70.
SYNTHETIC_NOT_REAL,SYN-004991,SYN-FO-004991,2025-12-31T06:28:48+00:00,SYN-C037,Europe,804.46,45,0.8688,0.3168,3.806,2.0,151,151,0.0,SIMULATED: transit deviation 3.8 h; load 151 pieces; received-document reading 151; image damage proxy 0.32.
SYNTHETIC_NOT_REAL,SYN-004642,SYN-FO-004642,2025-12-05T19:01:55.200000+00:00,SYN-C024,North America,253.19,60,0.6612,0.7385,11.894,12.0,391,372,0.03,SIMULATED: transit deviation 11.9 h; load 391 pieces; received-document reading 372; image damage proxy 0.74.
SYNTHETIC_NOT_REAL,SYN-004317,SYN-FO-004317,2025-11-12T01:37:55.200000+00:00,SYN-C052,North America,992.68,45,0.4876,0.211,0.0,24.0,351,332,0.01,SIMULATED: transit deviation 0.0 h; load 351 pieces; received-document reading 332; image damage proxy 0.21.
SYNTHETIC_NOT_REAL,SYN-004511,SYN-FO-004511,2025-11-26T05:31:12+00:00,SYN-C067,Asia Pacific,764.81,30,0.5914,0.8602,8.057,4.0,438,422,0.03,SIMULATED: transit deviation 8.1 h; load 438 pieces; received-document reading 422; image damage proxy 0.86.
