provenance,claim_id,reviewer_slot,reviewer_id,primary_cause,additional_causes,confidence,evidence_rationale,completed_at,status
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004336,1,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004336,2,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004336,3,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004578,1,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004578,2,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004578,3,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004183,1,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004183,2,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004183,3,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004331,1,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004331,2,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004331,3,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004151,1,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004151,2,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004151,3,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004318,1,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004318,2,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004318,3,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004477,1,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004477,2,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004477,3,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004998,1,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004998,2,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004998,3,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004396,1,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004396,2,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004396,3,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004325,1,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004325,2,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004325,3,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004762,1,,,,,,,NOT_ANNOTATED
BLANK_HUMAN_ANNOTATION_FORM_FOR_SYNTHETIC_CASE,SYN-004762,2,,,,,,,NOT_ANNOTATED
