provenance,claim_id,freight_order_id,event_timestamp,split,carrier_id,region,claim_value_usd,contract_payment_days,document_quality,image_damage_proxy,delay_hours,sla_buffer_hours,shipped_quantity,extracted_received_quantity,contractual_loss_tolerance,synthetic_primary_label,synthetic_possible_labels,synthetic_ambiguous,evidence_text
SYNTHETIC_NOT_REAL,SYN-000001,SYN-FO-000001,2025-01-01T00:00:00+00:00,train,SYN-C024,Asia Pacific,168.52,45,0.7502,0.6015,20.28,24.0,116,115,0.03,damage,damage,False,SIMULATED: transit deviation 20.3 h; load 116 pieces; received-document reading 115; image damage proxy 0.60.
SYNTHETIC_NOT_REAL,SYN-000002,SYN-FO-000002,2025-01-01T01:45:07.200000+00:00,train,SYN-C058,Latin America,908.77,30,0.7826,0.5931,1.807,4.0,339,318,0.0,damage,damage,False,SIMULATED: transit deviation 1.8 h; load 339 pieces; received-document reading 318; image damage proxy 0.59.
SYNTHETIC_NOT_REAL,SYN-000003,SYN-FO-000003,2025-01-01T03:30:14.400000+00:00,train,SYN-C034,Latin America,600.56,60,0.6281,0.8703,3.257,4.0,383,361,0.03,damage,damage,False,SIMULATED: transit deviation 3.3 h; load 383 pieces; received-document reading 361; image damage proxy 0.87.
SYNTHETIC_NOT_REAL,SYN-000004,SYN-FO-000004,2025-01-01T05:15:21.600000+00:00,train,SYN-C064,Europe,1047.78,30,0.4842,1.0,2.774,2.0,463,446,0.01,damage,damage|shortage,True,SIMULATED: transit deviation 2.8 h; load 463 pieces; received-document reading 446; image damage proxy 1.00.
SYNTHETIC_NOT_REAL,SYN-000005,SYN-FO-000005,2025-01-01T07:00:28.800000+00:00,train,SYN-C037,Latin America,526.08,60,0.7769,1.0,1.925,8.0,491,491,0.01,damage,damage,False,SIMULATED: transit deviation 1.9 h; load 491 pieces; received-document reading 491; image damage proxy 1.00.
SYNTHETIC_NOT_REAL,SYN-000006,SYN-FO-000006,2025-01-01T08:45:36+00:00,train,SYN-C075,Europe,162.11,15,0.8522,0.0,6.81,4.0,360,346,0.03,delay,delay,False,SIMULATED: transit deviation 6.8 h; load 360 pieces; received-document reading 346; image damage proxy 0.00.
SYNTHETIC_NOT_REAL,SYN-000007,SYN-FO-000007,2025-01-01T10:30:43.200000+00:00,train,SYN-C029,Latin America,497.9,15,0.7054,0.5066,0.0,2.0,470,425,0.0,shortage,shortage,False,SIMULATED: transit deviation 0.0 h; load 470 pieces; received-document reading 425; image damage proxy 0.51.
SYNTHETIC_NOT_REAL,SYN-000008,SYN-FO-000008,2025-01-01T12:15:50.400000+00:00,train,SYN-C028,Europe,1168.58,15,0.8437,0.9795,11.579,8.0,265,262,0.03,damage,damage,False,SIMULATED: transit deviation 11.6 h; load 265 pieces; received-document reading 262; image damage proxy 0.98.
SYNTHETIC_NOT_REAL,SYN-000009,SYN-FO-000009,2025-01-01T14:00:57.600000+00:00,train,SYN-C024,Latin America,300.8,15,0.5694,0.1594,26.197,12.0,28,28,0.0,delay,delay,False,SIMULATED: transit deviation 26.2 h; load 28 pieces; received-document reading 28; image damage proxy 0.16.
SYNTHETIC_NOT_REAL,SYN-000010,SYN-FO-000010,2025-01-01T15:46:04.800000+00:00,train,SYN-C080,Asia Pacific,443.09,45,0.6976,0.5327,39.437,24.0,451,421,0.01,delay,delay,False,SIMULATED: transit deviation 39.4 h; load 451 pieces; received-document reading 421; image damage proxy 0.53.
SYNTHETIC_NOT_REAL,SYN-000011,SYN-FO-000011,2025-01-01T17:31:12+00:00,train,SYN-C043,Europe,296.79,15,0.725,0.6585,3.722,12.0,83,84,0.01,damage,damage,False,SIMULATED: transit deviation 3.7 h; load 83 pieces; received-document reading 84; image damage proxy 0.66.
SYNTHETIC_NOT_REAL,SYN-000012,SYN-FO-000012,2025-01-01T19:16:19.200000+00:00,train,SYN-C054,North America,402.24,45,0.867,0.9291,14.83,24.0,56,55,0.0,damage,damage,False,SIMULATED: transit deviation 14.8 h; load 56 pieces; received-document reading 55; image damage proxy 0.93.
SYNTHETIC_NOT_REAL,SYN-000013,SYN-FO-000013,2025-01-01T21:01:26.400000+00:00,train,SYN-C072,Asia Pacific,88.59,30,0.8893,0.014,15.95,12.0,309,285,0.03,shortage,delay|shortage,True,SIMULATED: transit deviation 16.0 h; load 309 pieces; received-document reading 285; image damage proxy 0.01.
SYNTHETIC_NOT_REAL,SYN-000014,SYN-FO-000014,2025-01-01T22:46:33.600000+00:00,train,SYN-C028,North America,1207.71,45,0.456,0.4103,4.466,8.0,416,345,0.01,shortage,shortage,False,SIMULATED: transit deviation 4.5 h; load 416 pieces; received-document reading 345; image damage proxy 0.41.
SYNTHETIC_NOT_REAL,SYN-000015,SYN-FO-000015,2025-01-02T00:31:40.800000+00:00,train,SYN-C013,Europe,118.88,60,0.8083,0.0,5.323,4.0,239,230,0.0,delay,delay,False,SIMULATED: transit deviation 5.3 h; load 239 pieces; received-document reading 230; image damage proxy 0.00.
SYNTHETIC_NOT_REAL,SYN-000016,SYN-FO-000016,2025-01-02T02:16:48+00:00,train,SYN-C004,North America,210.3,30,0.8265,0.7413,4.849,4.0,205,189,0.03,damage,damage|delay,True,SIMULATED: transit deviation 4.8 h; load 205 pieces; received-document reading 189; image damage proxy 0.74.
SYNTHETIC_NOT_REAL,SYN-000017,SYN-FO-000017,2025-01-02T04:01:55.200000+00:00,train,SYN-C035,Europe,1500.41,30,0.8449,0.5883,20.205,24.0,49,49,0.0,damage,damage,False,SIMULATED: transit deviation 20.2 h; load 49 pieces; received-document reading 49; image damage proxy 0.59.
SYNTHETIC_NOT_REAL,SYN-000018,SYN-FO-000018,2025-01-02T05:47:02.400000+00:00,train,SYN-C043,Asia Pacific,1131.72,60,0.8513,0.737,21.235,24.0,95,95,0.01,damage,damage,False,SIMULATED: transit deviation 21.2 h; load 95 pieces; received-document reading 95; image damage proxy 0.74.
SYNTHETIC_NOT_REAL,SYN-000019,SYN-FO-000019,2025-01-02T07:32:09.600000+00:00,train,SYN-C003,Europe,790.86,45,0.5986,0.5338,0.22,4.0,99,102,0.01,damage,damage|shortage,True,SIMULATED: transit deviation 0.2 h; load 99 pieces; received-document reading 102; image damage proxy 0.53.
SYNTHETIC_NOT_REAL,SYN-000020,SYN-FO-000020,2025-01-02T09:17:16.800000+00:00,train,SYN-C015,Asia Pacific,540.1,60,0.7029,0.901,4.529,4.0,265,250,0.03,damage,damage,False,SIMULATED: transit deviation 4.5 h; load 265 pieces; received-document reading 250; image damage proxy 0.90.
SYNTHETIC_NOT_REAL,SYN-000021,SYN-FO-000021,2025-01-02T11:02:24+00:00,train,SYN-C066,Europe,883.45,45,0.4508,0.9644,3.203,2.0,484,469,0.01,damage,damage,False,SIMULATED: transit deviation 3.2 h; load 484 pieces; received-document reading 469; image damage proxy 0.96.
SYNTHETIC_NOT_REAL,SYN-000022,SYN-FO-000022,2025-01-02T12:47:31.200000+00:00,train,SYN-C076,Asia Pacific,4639.91,15,0.6952,0.6855,1.933,2.0,206,200,0.03,damage,damage,False,SIMULATED: transit deviation 1.9 h; load 206 pieces; received-document reading 200; image damage proxy 0.69.
